kingdom;phylum;class;order;family;genus;species;taxa
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus_bromii;t__SGB4285
k__Bacteria;p__Firmicutes;c__CFGB14936;o__OFGB14936;f__FGB14936;g__GGB3256;s__GGB3256_SGB4303;t__SGB4303
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis;t__SGB17244_group
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens;t__SGB14535_group
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_eutactus;t__SGB5117
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Candidatus_Cibionibacter;s__Candidatus_Cibionibacter_quicibialis;t__SGB15286
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB14861;t__SGB14861
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister_invisus;t__SGB5825_group
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum;t__SGB17248
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila;t__SGB9226
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_SGB14313;t__SGB14313
k__Bacteria;p__Firmicutes;c__CFGB10477;o__OFGB10477;f__FGB10477;g__GGB9345;s__GGB9345_SGB14311;t__SGB14311
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9635;s__GGB9635_SGB15106;t__SGB15106
k__Bacteria;p__Firmicutes;c__CFGB1355;o__OFGB1355;f__FGB1355;g__GGB3306;s__GGB3306_SGB4373;t__SGB4373
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii;t__SGB15323
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9677;s__GGB9677_SGB15180;t__SGB15180
k__Bacteria;p__Firmicutes;c__CFGB2982;o__OFGB2982;f__FGB2982;g__GGB9342;s__GGB9342_SGB14306;t__SGB14306
k__Bacteria;p__Firmicutes;c__CFGB9989;o__OFGB9989;f__FGB9989;g__GGB9712;s__GGB9712_SGB15244;t__SGB15244
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_hadrus;t__SGB4540_group
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_unclassified_SGB15090;t__SGB15090
