;arachidate (20:0);erucate (22:1n9);3-hydroxy-2-ethylpropionate;lanthionine;X-21752;X-12126;X-12216;indolelactate;3-hydroxypyridine sulfate;3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**;X-13729;X-24811;deoxycarnitine;N-acetylcarnosine;5alpha-androstan-3alpha,17beta-diol monosulfate (2);1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*;N,N,N-trimethyl-alanylproline betaine (TMAP);(S)-a-amino-omega-caprolactam;X-12822;X-23654;X-24328;Rothia mucilaginosa;Parascardovia denticolens;Drancourtella sp An57;Atopobium deltae;Streptococcus salivarius;Veillonella parvula;Veillonella atypica;Streptococcus gordonii;Lactobacillales;Enterocloster SGB14313;Firmicutes unclassified 1;Eubacteriales unclassified 1;Firmicutes unclassified 2;Eubacteriales unclassified 2;Methanobrevibacter smithii;;;
arachidate (20:0);1;0.800879066493368;0.292342583672283;0.0913126146020592;0.139878585316585;0.095575762269886;0.173072017056149;-0.00341956625672393;0.00498045644434021;0.207006465066777;0.0732469178503642;0.019450392855609;-0.0949106547144612;-0.130248769633277;-0.0662850147086782;-0.0480457047307183;-0.0198468066223932;-0.00839216281006532;0.0346463946712096;-0.139978429956324;0.0597760427723459;-0.0722397439023073;-0.0779532225332066;-0.0453834748874871;-0.0201938200351819;-0.0524134555317656;0.00370326844885163;0.0628684755015317;-0.00768377968378499;-0.0440809502762588;0.180398640189564;0.0612243348841007;0.0860273599934737;0.104521908271151;0.0812937309297575;0.119218434531165;;;
erucate (22:1n9);0.800879066493368;1;0.370820710316478;0.148145147583891;0.116043042058243;0.180428733545915;0.238769326092146;0.0851303464132213;0.0583733616153015;0.305815557002381;0.137455175107406;0.0636412062715782;-0.0725658721042901;-0.0844094049478255;-0.0219742323673639;-0.0676308209025147;0.0748369941534809;-0.0114928034463638;0.0697835566584107;-0.0389265622387775;0.0535752019798513;-0.0593416060732049;-0.0471555131178162;-0.0194468999468021;-0.0104035487045503;-0.0738942806218682;-0.0325048266214708;0.0391746901286169;-0.00820555741899771;-0.0211348064185541;0.132863178729594;0.0886821796504667;0.063157986340508;0.152813835100172;0.0500370689663376;0.0357552903906234;;;
3-hydroxy-2-ethylpropionate;0.292342583672283;0.370820710316478;1;0.317901937598379;0.0151005829011162;0.354326345387863;0.419286080384675;0.365126238176808;0.26312416521407;0.430333079471551;0.38702804932895;0.212124998058361;0.164240329555047;0.163461596248664;0.134449274104521;0.0170711637840942;0.29370593837483;0.185464725963478;0.176741641370079;0.196617858233947;0.24973850853591;-0.074375375275676;-0.0228501157844928;-0.019437848796183;-0.0198425121857191;-0.0984033105309527;-0.0335990049411905;-0.0103023708534295;-0.0140817387699372;0.0465983640987297;0.0847008277157573;0.129472519059926;0.128283432110399;0.185355629679351;0.0804361598762394;0.0280956262584726;;;
lanthionine;0.0913126146020592;0.148145147583891;0.317901937598379;1;0.2329298226096;0.274406527628767;0.243564384613234;0.284957834667427;0.334448152179214;0.298605585871239;0.306795864299504;0.292174065244164;0.19973934510172;0.13938493854622;-0.092168056081499;-0.0036077569135039;0.341443850154588;0.210168489499031;0.134191241940039;0.214057957397658;0.00583189503754296;0.0221117652043208;-0.0140461513994865;-0.0188350876292249;-0.0271800464864373;0.00842707402522064;0.0875872427292696;0.0294275436383299;0.0102192276025939;0.0301529275854576;0.0471784202105383;0.126358216749975;0.117380387913924;0.146550436441268;0.057104183589685;0.111868118221451;;;
X-21752;0.139878585316585;0.116043042058243;0.0151005829011162;0.2329298226096;1;0.192291272440751;0.181676503326224;0.0286423877301732;0.118540294161639;0.132587918221111;0.123516696953391;0.0725549483606884;-0.0624548652355862;-0.0470535502028728;-0.0741408655913708;-0.097926033285529;0.0347157897488378;-0.06669800398387;0.0218351492816185;-0.106720910160398;0.0637093728400016;-0.0844977727481781;-0.0345424240595013;-0.0926494140547091;0.000783088088750242;-0.0905004100653648;-0.105412434694521;-0.0978896880297153;-0.00929578751584664;-0.112547469803174;0.257899949759233;0.0917183866892802;0.182000479067046;0.176284009045631;0.124673330843383;0.195762082755988;;;
X-12126;0.095575762269886;0.180428733545915;0.354326345387863;0.274406527628767;0.192291272440751;1;0.821923308512446;0.203127533460063;0.393048985861636;0.294240458809629;0.624958134268443;0.397075137935709;0.0208059205490973;0.0601038965333648;-0.0529299029529405;-0.0197026021165264;0.212638618162786;0.18587754559244;0.0826890119423284;0.187573897966186;-0.0661547278410316;0.0258042407905361;0.120526102757299;-0.0393709605595007;-0.0576946679066372;-0.166510210070486;-0.090222132777236;-0.0257483494274142;0.0347427226071187;0.0238930834815937;0.26640765242398;0.231983732462262;0.353872444757072;0.25913557196615;0.254204308648798;0.334205382292665;;;
X-12216;0.173072017056149;0.238769326092146;0.419286080384675;0.243564384613234;0.181676503326224;0.821923308512446;1;0.176313019274867;0.289619418987774;0.340397488101655;0.712188071527443;0.249802803333788;0.0743748197766429;0.0800571104757164;-0.0234169541405397;0.0995384270120877;0.204525378842185;0.182046933408514;0.144457913368393;0.150725797485915;0.0497681817852027;-0.0573721701672252;0.0552779617414096;-0.0566028806213815;-0.0630043442404805;-0.200892043848631;-0.136926678554149;-0.111206742630637;-0.0163505490472164;-0.0466964355794547;0.26850115596947;0.201899576802497;0.346699938634317;0.268368143746731;0.234985378859509;0.292537557335519;;;
indolelactate;-0.00341956625672393;0.0851303464132213;0.365126238176808;0.284957834667427;0.0286423877301732;0.203127533460063;0.176313019274867;1;0.306600002714802;0.394809327378393;0.199200876650197;0.249843364275936;0.301683545122236;0.47383936957975;0.355332267337602;0.0406087157076377;0.448605855816694;0.289673495465854;0.263423786437353;0.358904433018462;0.224356722172164;0.0207263642792321;0.000978943434113626;-0.0306698238727646;-0.0348573962374245;-0.0511121017218953;-0.0619751581562874;0.00523956769528577;0.00717060955968105;0.0384540386235914;-0.0056639842347821;0.0231961200332152;0.0723440574385062;0.0621466850483564;-0.0378713040407513;0.00413179597002208;;;
3-hydroxypyridine sulfate;0.00498045644434021;0.0583733616153015;0.26312416521407;0.334448152179214;0.118540294161639;0.393048985861636;0.289619418987774;0.306600002714802;1;0.221697881459108;0.346674430732733;0.875893140347226;0.184690300341258;0.150377094628919;0.0965321172697428;0.0295224871314286;0.267220457819173;0.231227672512372;0.179483797529756;0.293266380281304;-0.0521208012611704;0.0711508911225437;0.109337448637875;-0.0637884944922138;-0.0559983435877625;-0.0859472894680202;0.000789779543108673;0.0602486988911962;0.0541119884885692;0.0534539762580187;0.0561662250853723;0.178690674850249;0.16626369992815;0.182535693864997;0.151403211391645;0.138574574747417;;;
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**;0.207006465066777;0.305815557002381;0.430333079471551;0.298605585871239;0.132587918221111;0.294240458809629;0.340397488101655;0.394809327378393;0.221697881459108;1;0.347891672422044;0.179000817907973;0.17733227035716;0.13977875136405;0.00414616320479275;0.12846599413315;0.29018817074732;0.16134508846766;0.267164152929015;0.170223399476242;0.0723640450995018;-0.0740963535167825;0.000686475752155771;-0.00692513590700104;-0.0744456933998327;-0.0172625784973562;-0.0826589107810067;-0.0363668021320153;-0.00910450502279552;0.0281747162695725;0.0839570604484567;0.0821815021857151;0.134730654616563;0.160390213877873;-0.00761666190311811;0.0222330871080626;;;
